month,day,hour,minute,identifier,surface_inside_face_temperature,surface_outside_face_temperature
2,1,0,0,office_2..Face5,18.653776924177116,18.43030066325087
3,1,0,0,office_2..Face5,19.276718402572072,19.10448943846152
4,1,0,0,office_2..Face5,20.118902868678685,19.965552119446087
5,1,0,0,office_2..Face5,22.12198707137008,22.044299766181734
6,1,0,0,office_2..Face5,23.39555105593221,23.35327359577179
7,1,0,0,office_2..Face5,24.79922273750313,24.738050078468653
8,1,0,0,office_2..Face5,24.302585855690097,24.189173710985802
9,1,0,0,office_2..Face5,22.840761402737638,22.65752641041888
10,1,0,0,office_2..Face5,20.998039090613542,20.773458057352578
11,1,0,0,office_2..Face5,19.412241498895483,19.230249326478333
12,1,0,0,office_2..Face5,18.537143129923663,18.37494533342267
1,1,0,0,office_2..Face6,17.74075183278171,-2.577403264289298
2,1,0,0,office_2..Face6,18.43467504705981,0.6230402774042634
3,1,0,0,office_2..Face6,19.146756720766163,5.941254688958074
4,1,0,0,office_2..Face6,20.10274402739229,11.830753448464815
5,1,0,0,office_2..Face6,22.237670675746784,19.753370832737225
6,1,0,0,office_2..Face6,23.580039445800058,24.11742578745678
7,1,0,0,office_2..Face6,25.094255718721733,28.8705551175621
8,1,0,0,office_2..Face6,24.56088961667279,26.277331406484812
9,1,0,0,office_2..Face6,23.021191044726468,21.441925908661315
10,1,0,0,office_2..Face6,21.024361255198077,13.878005607106182
11,1,0,0,office_2..Face6,19.28044293604818,6.76011223435071
12,1,0,0,office_2..Face6,18.303839043595733,2.095744037476352
1,1,0,0,office_3..Face0,17.89580597408353,18.0
2,1,0,0,office_3..Face0,18.264623412442,18.0
3,1,0,0,office_3..Face0,19.01016001311865,18.0
4,1,0,0,office_3..Face0,19.968106970556658,18.0
5,1,0,0,office_3..Face0,21.913535447649327,18.0
6,1,0,0,office_3..Face0,22.991577562203034,18.0
7,1,0,0,office_3..Face0,24.180749313421753,18.0
8,1,0,0,office_3..Face0,23.63096084696837,18.0
9,1,0,0,office_3..Face0,22.344997649265736,18.0
10,1,0,0,office_3..Face0,20.33184046522306,18.0
11,1,0,0,office_3..Face0,18.872327008950812,18.0
12,1,0,0,office_3..Face0,18.18544524515408,18.0
1,1,0,0,office_3..Face1,17.288236143481004,-2.544298372442825
2,1,0,0,office_3..Face1,17.698537015715615,0.46020924249953815
3,1,0,0,office_3..Face1,18.595104760645118,5.590320357582696
4,1,0,0,office_3..Face1,19.684763539141006,11.269073881136851
5,1,0,0,office_3..Face1,22.032713599691668,18.478353664351097
6,1,0,0,office_3..Face1,23.310190284229357,22.38164922736577
7,1,0,0,office_3..Face1,24.68106269564469,27.28323389568202
8,1,0,0,office_3..Face1,24.0992159648729,24.763128584590227
9,1,0,0,office_3..Face1,22.596672720015892,20.38495686263436
10,1,0,0,office_3..Face1,20.31655627263383,13.329209169057652
11,1,0,0,office_3..Face1,18.59665707914548,6.673539779682695
12,1,0,0,office_3..Face1,17.71390409094296,2.231549964252387
1,1,0,0,office_3..Face1_Glz0,10.723908562988541,0.7982066416535105
2,1,0,0,office_3..Face1_Glz0,11.871430084948907,3.0024944246773075
3,1,0,0,office_3..Face1_Glz0,14.082819239519038,7.03409914612019
4,1,0,0,office_3..Face1_Glz0,16.570678196220985,11.402224329762928
5,1,0,0,office_3..Face1_Glz0,20.52947965445966,17.418000243328223
6,1,0,0,office_3..Face1_Glz0,22.707134989490324,20.81821238187232
7,1,0,0,office_3..Face1_Glz0,25.31456329824724,24.920225430993607
8,1,0,0,office_3..Face1_Glz0,24.1471664863879,23.175060310033064
9,1,0,0,office_3..Face1_Glz0,21.69312276155481,19.68073790511381
10,1,0,0,office_3..Face1_Glz0,17.80063549889626,13.914454774630368
11,1,0,0,office_3..Face1_Glz0,14.47566755955641,8.460457021972246
12,1,0,0,office_3..Face1_Glz0,12.415938306711338,4.678205490270487
1,1,0,0,office_3..Face2,17.91273396139543,17.87883654301766
2,1,0,0,office_3..Face2,18.259248359191833,18.233140382990364
3,1,0,0,office_3..Face2,19.032055720821354,19.019191067884616
4,1,0,0,office_3..Face2,19.98659599707931,20.000171550872718
5,1,0,0,office_3..Face2,22.188873322897898,22.223634113411595
6,1,0,0,office_3..Face2,23.386423871968322,23.415798959146645
7,1,0,0,office_3..Face2,24.656177892636332,24.689027535351034
8,1,0,0,office_3..Face2,24.124623727138207,24.15709167616971
9,1,0,0,office_3..Face2,22.702846429640495,22.735730554155843
10,1,0,0,office_3..Face2,20.552098402844756,20.545598611223486
11,1,0,0,office_3..Face2,18.97330729927944,18.934664952237345
12,1,0,0,office_3..Face2,18.19958801045141,18.162065172240286
1,1,0,0,office_3..Face3,18.114454524410384,18.488509023845506
2,1,0,0,office_3..Face3,18.424666278365887,18.727691618252514
3,1,0,0,office_3..Face3,19.12751409369804,19.296924319368472
4,1,0,0,office_3..Face3,19.976114354074372,19.94297341903663
5,1,0,0,office_3..Face3,22.067178296634875,21.804897162719534
6,1,0,0,office_3..Face3,23.250099614251138,22.946503765177482
7,1,0,0,office_3..Face3,24.486431086840042,24.107609288716436
8,1,0,0,office_3..Face3,23.985413138093712,23.681828057613583
9,1,0,0,office_3..Face3,22.604410082465176,22.400091014404843
10,1,0,0,office_3..Face3,20.588253862068328,20.648405197454434
11,1,0,0,office_3..Face3,19.121324211637823,19.385745800600194
12,1,0,0,office_3..Face3,18.385901126807767,18.726220444554084
1,1,0,0,office_3..Face4,18.079191608789937,18.44308105426678
2,1,0,0,office_3..Face4,18.395337992864224,18.690384437457336
3,1,0,0,office_3..Face4,19.108151372230534,19.272655819642097
4,1,0,0,office_3..Face4,19.968956585288375,19.933527759885983
5,1,0,0,office_3..Face4,22.070664669350307,21.80935915006873
6,1,0,0,office_3..Face4,23.25737370007311,22.95712139872008
7,1,0,0,office_3..Face4,24.500133197445354,24.12735333773222
8,1,0,0,office_3..Face4,23.99414777648902,23.695075439377018
9,1,0,0,office_3..Face4,22.606926000141474,22.40396449872617
10,1,0,0,office_3..Face4,20.578083359550657,20.63705648190672
11,1,0,0,office_3..Face4,19.09903820910092,19.359137309769313
12,1,0,0,office_3..Face4,18.35664520236256,18.689721218448707
1,1,0,0,office_3..Face5,17.516788275139067,-2.5789392647647187
2,1,0,0,office_3..Face5,17.917745494368177,0.6194442294905784
3,1,0,0,office_3..Face5,18.79725806388892,5.939292626534406
4,1,0,0,office_3..Face5,19.865618293257278,11.829471443620324
5,1,0,0,office_3..Face5,22.216834123129285,19.753986310727438
6,1,0,0,office_3..Face5,23.49903493478897,24.117676723314116
7,1,0,0,office_3..Face5,24.87027270512143,28.869330520118822
8,1,0,0,office_3..Face5,24.271029630364147,26.2756678718302
9,1,0,0,office_3..Face5,22.738860868059845,21.440208376438814
